compound;isotherm_model;data_type;orig_freundlich_k;orig_freundlich_exponent;orig_freundlich_exp_type;orig_langmuir_qmax;orig_langmuir_kl;orig_param_units;orig_ce_units;orig_q_units;amanzi_freundlich_k;amanzi_freundlich_1n;amanzi_langmuir_qmax;amanzi_langmuir_kl;amanzi_units_note;gac_brand;gac_product;gac_type;gac_reactivation;water_matrix;influent_conc_min;influent_conc_max;influent_conc_unit;is_multicomponent;competition_notes;matrix_notes;fitting_method;source_title;source_authors;source_year;source_doi;source_url;notes
PFHxS;freundlich;measured_batch;3.43;0.29;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;25.4269;0.29;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rc-AC reactivated coconut;coconut;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rc-AC; amanzi_k = 3.43 × 1000^0.29"
PFOA;freundlich;measured_batch;3.66;0.18;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;12.6906;0.18;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rc-AC reactivated coconut;coconut;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rc-AC; amanzi_k = 3.66 × 1000^0.18"
PFOS;freundlich;measured_batch;3.66;0.18;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;12.6906;0.18;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rc-AC reactivated coconut;coconut;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rc-AC; amanzi_k = 3.66 × 1000^0.18"
PFBA;freundlich;measured_batch;0.01;0.94;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;6.60693;0.94;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vc-AC virgin coconut;coconut;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vc-AC; amanzi_k = 0.01 × 1000^0.94"
PFPeA;freundlich;measured_batch;0.6;0.54;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;25.0122;0.54;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vc-AC virgin coconut;coconut;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vc-AC; amanzi_k = 0.6 × 1000^0.54"
PFBS;freundlich;measured_batch;0.87;0.43;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;16.9636;0.43;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vc-AC virgin coconut;coconut;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vc-AC; amanzi_k = 0.87 × 1000^0.43"
PFHxA;freundlich;measured_batch;2.09;0.3;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;16.6015;0.3;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vc-AC virgin coconut;coconut;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vc-AC; amanzi_k = 2.09 × 1000^0.3"
PFHpA;freundlich;measured_batch;1.74;0.45;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;38.9537;0.45;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vc-AC virgin coconut;coconut;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vc-AC; amanzi_k = 1.74 × 1000^0.45"
PFHxS;freundlich;measured_batch;2.2;0.33;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;21.4992;0.33;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vc-AC virgin coconut;coconut;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vc-AC; amanzi_k = 2.2 × 1000^0.33"
PFOA;freundlich;measured_batch;2.43;0.23;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;11.9016;0.23;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vc-AC virgin coconut;coconut;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vc-AC; amanzi_k = 2.43 × 1000^0.23"
PFOS;freundlich;measured_batch;2.43;0.23;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;11.9016;0.23;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vc-AC virgin coconut;coconut;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vc-AC; amanzi_k = 2.43 × 1000^0.23"
PFBS;freundlich;measured_batch;5.71;0.63;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;443.2;0.63;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.63; amanzi_k = 5.71 × 1000^0.63"
PFHxS;freundlich;measured_batch;6.5;0.86;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;2471;0.86;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.86; amanzi_k = 6.5 × 1000^0.86"
PFOS;freundlich;measured_batch;8.42;0.76;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;1604;0.76;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.76; amanzi_k = 8.42 × 1000^0.76"
PFDS;freundlich;measured_batch;10.27;0.84;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;3401;0.84;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.84; amanzi_k = 10.27 × 1000^0.84"
PFPeA;freundlich;measured_batch;1.57;0.7;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;197.7;0.7;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.7; amanzi_k = 1.57 × 1000^0.7"
PFOA;freundlich;measured_batch;5.06;0.87;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;2061;0.87;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.87; amanzi_k = 5.06 × 1000^0.87"
PFNA;freundlich;measured_batch;5.04;0.9;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;2526;0.9;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.9; amanzi_k = 5.04 × 1000^0.9"
PFBS;freundlich;measured_batch;1.92;0.41;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;32.6063;0.41;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.41; amanzi_k = 1.92 × 1000^0.41"
PFHxS;freundlich;measured_batch;3.48;0.25;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;19.5695;0.25;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.25; amanzi_k = 3.48 × 1000^0.25"
PFOS;freundlich;measured_batch;2.7;0.36;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;32.4611;0.36;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.36; amanzi_k = 2.7 × 1000^0.36"
PFPeA;freundlich;measured_batch;0.47;0.6;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;29.655;0.6;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.6; amanzi_k = 0.47 × 1000^0.6"
PFOA;freundlich;measured_batch;3.1;0.31;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;26.3853;0.31;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.31; amanzi_k = 3.1 × 1000^0.31"
PFNA;freundlich;measured_batch;2.6;0.38;n;;;(ng/mg)/(ng/L)^n;ng/L;ng/mg;35.89;0.38;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture at ~70-100 ng/L each;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;"Exponent is n not 1/n; amanzi_1n=0.38; amanzi_k = 2.6 × 1000^0.38"
PFBS;langmuir;measured_batch;;;;63.93;0.074;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;63.93;74;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFHxS;langmuir;measured_batch;;;;47.67;0.02;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;47.67;20;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFOS;langmuir;measured_batch;;;;47.67;0.137;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;47.67;137;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFPeA;langmuir;measured_batch;;;;96.77;0.024;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;96.77;24;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFOA;langmuir;measured_batch;;;;63.61;0.024;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;63.61;24;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFNA;langmuir;measured_batch;;;;5.04;0.024;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;5.04;24;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;SRD mesoporous;bituminous;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFBS;langmuir;measured_batch;;;;11.23;0.099;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;11.23;99;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFHxS;langmuir;measured_batch;;;;11.3;0.157;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;11.3;157;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFOS;langmuir;measured_batch;;;;12.93;0.086;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;12.93;86;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFPeA;langmuir;measured_batch;;;;9.48;0.401;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;9.48;401;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFOA;langmuir;measured_batch;;;;10.35;0.251;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;10.35;251;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFNA;langmuir;measured_batch;;;;13.19;0.093;"qmax:ng/mg; KL:L/ng";ng/L;ng/mg;;;13.19;93;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Chemviron/Jacobi;AquaSorb CS microporous;coconut;none;"demineralized water; phosphate buffer pH 7.2";0.1;100;ng/L;true;9-PFAS mixture;synthetic buffered water;non-linear regression (Table 1);Kinetic and isotherm study for PFAS adsorption on activated carbon in the low ng/L range;Pranić et al.;2024;10.1016/j.chemosphere.2024.143889;https://doi.org/10.1016/j.chemosphere.2024.143889;KL converted L/ng → L/µg (×1000)
PFBA;freundlich;measured_batch;828;0.72;n;;;(µg/g)/(µg/L)^n;µg/L;µg/g;828;0.72;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";unspecified;AC-bit1 pulverized;bituminous;none;demineralized water;6000;6000;ng/L;true;4-PFAS mixture at 6 µg/L each;no NOM;Freundlich linearized fit (Table 5);Sorptive removal of short-chain PFAS during drinking water treatment;Hückstädt et al.;2023;10.1186/s12302-023-00716-5;https://doi.org/10.1186/s12302-023-00716-5;"Ce in µg/L; KF directly usable as amanzi_k when 1/n = n"
PFPeA;freundlich;measured_batch;1281;0.66;n;;;(µg/g)/(µg/L)^n;µg/L;µg/g;1281;0.66;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";unspecified;AC-bit1 pulverized;bituminous;none;demineralized water;6000;6000;ng/L;true;4-PFAS mixture at 6 µg/L each;no NOM;Freundlich linearized fit (Table 5);Sorptive removal of short-chain PFAS during drinking water treatment;Hückstädt et al.;2023;10.1186/s12302-023-00716-5;https://doi.org/10.1186/s12302-023-00716-5;"Ce in µg/L; KF directly usable as amanzi_k when 1/n = n"
PFHxA;freundlich;measured_batch;2099;0.63;n;;;(µg/g)/(µg/L)^n;µg/L;µg/g;2099;0.63;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";unspecified;AC-bit1 pulverized;bituminous;none;demineralized water;6000;6000;ng/L;true;4-PFAS mixture at 6 µg/L each;no NOM;Freundlich linearized fit (Table 5);Sorptive removal of short-chain PFAS during drinking water treatment;Hückstädt et al.;2023;10.1186/s12302-023-00716-5;https://doi.org/10.1186/s12302-023-00716-5;"Ce in µg/L; KF directly usable as amanzi_k when 1/n = n"
PFOA;freundlich;measured_batch;5757;0.22;n;;;(µg/g)/(µg/L)^n;µg/L;µg/g;5757;0.22;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";unspecified;AC-bit1 pulverized;bituminous;none;demineralized water;6000;6000;ng/L;true;4-PFAS mixture at 6 µg/L each;no NOM;Freundlich linearized fit (Table 5);Sorptive removal of short-chain PFAS during drinking water treatment;Hückstädt et al.;2023;10.1186/s12302-023-00716-5;https://doi.org/10.1186/s12302-023-00716-5;"Ce in µg/L; KF directly usable as amanzi_k when 1/n = n"
